experiment_id,image,click,movement
14,/academic_book_no/1_colour.jpeg,"(182,62)","[(196,165), (194,158), (192,146), (191,133), (190,121), (188,107), (184,91), (181,82), (178,78), (176,74), (175,73), (174,73), (174,72), (175,71), (177,69), (179,65), (184,60), (187,57), (187,55), (188,54), (188,54), (188,54), (187,55), (187,55), (187,56), (187,57), (186,57), (186,58), (185,58), (185,59), (184,59), (184,60), (184,60), (184,60), (184,61), (184,61), (184,61), (183,61), (183,61), (183,62), (183,62), (183,62), (183,62), (183,62), (182,62)]"
15,/statues_oc/1_colour.jpeg,"(156,111)","[(160,124), (159,124), (159,124), (158,123), (158,122), (158,122), (157,121), (157,120), (157,118), (156,116), (156,115), (155,114), (155,113), (155,113), (155,113), (155,113), (155,112), (156,112), (156,112), (156,111), (156,111), (156,111), (156,111)]"
16,/souvenirs_oc/1_colour.jpeg,"(167,109)","[(295,86), (292,89), (269,104), (245,118), (222,126), (205,131), (183,135), (172,136), (169,136), (168,136), (168,136), (167,136), (166,136), (164,136), (161,135), (158,134), (155,133), (152,131), (151,131), (151,131), (151,131), (151,131), (150,131), (150,130), (150,130), (150,130), (151,129), (154,126), (155,124), (155,122), (155,122), (155,121), (155,121), (155,121), (156,120), (160,117), (163,114), (164,113), (165,112), (166,111), (167,110), (168,109), (169,108), (169,108), (169,108), (168,108), (168,108), (168,108), (168,108), (168,108), (167,109), (167,109)]"
17,/statues_oc/1_colour.jpeg,"(154,136)","[(167,145), (167,145), (167,144), (166,143), (165,142), (165,141), (164,139), (163,138), (163,135), (162,133), (162,132), (161,131), (161,130), (161,129), (161,129), (161,129), (161,128), (161,128), (161,128), (161,127), (161,127), (161,127), (160,127), (160,126), (160,125), (160,124), (160,123), (160,122), (160,121), (160,120), (160,120), (160,120), (160,120), (160,119), (160,119), (160,119), (159,119), (159,119), (159,119), (159,119), (159,118), (159,117), (159,117), (159,117), (159,117), (159,116), (159,116), (159,115), (159,115), (159,114), (159,113), (159,113), (159,113), (159,113), (159,112), (159,112), (159,111), (159,111), (159,111), (159,110), (159,110), (159,110), (159,109), (159,109), (158,109), (158,108), (158,108), (157,107), (157,107), (157,106), (156,105), (156,105), (156,105), (156,104), (156,104), (156,104), (156,104), (156,103), (156,103), (156,103), (156,103), (156,103), (156,102), (156,101), (156,100), (157,100), (157,100), (157,100), (157,100), (157,101), (157,101), (157,101), (157,102), (157,102), (158,102), (158,102), (158,102), (158,101), (158,101), (158,101), (158,102), (158,103), (158,104), (158,106), (158,107), (158,109), (158,111), (158,112), (158,113), (159,113), (159,113), (159,114), (159,114), (159,114), (159,116), (159,118), (158,122), (158,124), (158,126), (158,127), (158,127), (158,127), (158,126), (159,126), (159,125), (158,126), (158,127), (156,131), (154,134), (154,135), (154,137), (154,137), (154,136), (154,136)]"
18,/mugs_oc/1_colour.jpeg,"(170,100)","[(143,146), (227,91), (280,46), (294,0), (293,6), (283,19), (275,29), (259,43), (239,59), (226,67), (217,72), (213,74), (210,75), (209,77), (205,78), (202,79), (198,81), (195,83), (194,83), (193,84), (192,84), (191,85), (191,85), (190,86), (189,86), (189,86), (189,87), (187,89), (182,94), (178,98), (175,101), (174,102), (174,102), (174,102), (174,102), (173,102), (173,103), (172,103), (171,103), (171,103), (171,102), (171,102), (171,101), (171,101), (171,101), (171,100), (171,100), (171,100), (170,100), (170,100), (170,100)]"
19,/statues_oc/1_colour.jpeg,"(163,135)","[(157,151), (157,150), (157,149), (157,148), (157,147), (157,145), (156,144), (156,142), (156,140), (156,138), (156,138), (156,137), (156,136), (156,135), (156,134), (156,134), (156,134), (156,134), (156,133), (156,133), (157,132), (157,132), (157,132), (158,132), (158,132), (158,132), (159,132), (159,132), (159,133), (159,133), (160,133), (160,133), (160,133), (160,133), (160,134), (161,134), (162,134), (163,135), (163,135), (164,135), (164,135), (164,135), (163,135), (163,135), (163,135)]"
20,/head_gear_oc/1_colour.jpeg,"(103,90)","[(1,63), (26,69), (49,76), (49,76), (56,78), (56,78), (72,82), (83,84), (86,85), (92,86), (97,88), (99,88), (101,89), (103,89), (103,90), (103,90), (103,90), (103,90), (103,90)]"
21,/wash_oc/2_colour.jpeg,"(183,120)","[(76,116), (76,116), (76,114), (76,114), (79,110), (81,106), (83,103), (86,98), (88,94), (90,92), (92,89), (94,87), (96,85), (97,85), (98,84), (99,84), (100,84), (101,84), (103,84), (104,84), (106,84), (107,84), (109,85), (112,86), (116,89), (118,91), (121,92), (123,94), (126,96), (128,98), (129,100), (131,102), (133,104), (134,105), (136,107), (137,108), (138,109), (139,110), (140,111), (140,111), (140,111), (140,111), (141,112), (141,112), (141,112), (141,112), (141,112), (142,112), (142,112), (142,112), (142,112), (143,112), (144,112), (146,112), (149,112), (151,112), (155,112), (158,112), (161,112), (163,113), (166,113), (169,114), (173,114), (174,115), (175,115), (177,115), (178,116), (179,116), (179,117), (180,117), (180,117), (181,117), (181,118), (181,118), (181,118), (182,118), (182,118), (182,119), (182,119), (182,119), (182,119), (182,119), (182,119), (182,119), (182,119), (183,119), (183,119), (183,120)]"
22,/statues_no/4_colour.jpeg,"(87,112)","[(182,120), (182,120), (182,120), (182,120), (181,120), (181,120), (179,120), (179,120), (179,120), (178,120), (177,120), (176,120), (175,121), (174,121), (173,121), (173,121), (173,121), (172,121), (172,121), (172,121), (172,121), (171,121), (171,121), (171,121), (171,121), (170,121), (170,121), (169,121), (169,121), (167,121), (165,121), (163,121), (160,121), (156,120), (152,119), (147,117), (144,116), (140,114), (138,113), (135,112), (132,111), (130,110), (127,109), (126,108), (125,108), (124,108), (124,108), (124,108), (123,108), (123,108), (123,108), (123,108), (122,108), (121,108), (120,108), (118,108), (116,108), (109,108), (107,108), (107,108), (105,108), (104,108), (103,108), (102,108), (101,108), (101,108), (100,108), (100,108), (99,108), (99,108), (99,108), (98,108), (98,108), (97,108), (96,109), (95,109), (94,109), (93,109), (93,109), (92,109), (91,109), (90,109), (90,110), (90,110), (90,110), (89,110), (89,110), (89,110), (89,110), (89,110), (89,110), (89,110), (89,110), (89,110), (89,110), (89,110), (89,110), (89,111), (89,111), (89,111), (88,111), (88,111), (88,111), (88,111), (88,111), (88,112), (88,112), (88,112), (88,112), (88,112), (87,112)]"
23,/lp_book_no/1_colour.jpeg,"(162,105)","[(106,165), (106,165), (108,161), (108,161), (111,157), (111,157), (114,154), (117,149), (120,145), (123,142), (127,138), (130,134), (132,130), (135,127), (136,125), (138,123), (140,120), (142,118), (144,116), (145,115), (148,112), (149,111), (150,110), (151,110), (152,109), (153,109), (153,109), (154,109), (154,108), (155,108), (156,108), (157,107), (157,107), (158,107), (159,106), (160,106), (160,106), (160,106), (161,106), (161,106), (161,106), (162,106), (162,105)]"
24,/footwear_oc/2_colour.jpeg,"(147,90)","[(132,57), (132,57), (132,60), (132,60), (133,61), (133,61), (134,63), (135,65), (136,67), (137,69), (139,72), (139,73), (140,75), (141,76), (141,77), (142,78), (142,79), (142,79), (142,79), (143,80), (143,80), (143,80), (143,80), (143,81), (143,81), (143,82), (144,83), (144,84), (145,85), (145,86), (146,87), (146,88), (146,89), (147,89), (147,89), (147,89), (147,90), (147,90), (147,90)]"
25,/shooters_no/1_colour.jpeg,"(164,119)","[(87,11), (87,11), (97,25), (97,25), (114,53), (114,53), (120,62), (120,62), (132,80), (141,92), (147,100), (149,103), (153,108), (157,112), (159,114), (160,115), (161,116), (162,117), (163,118), (163,118), (163,118), (164,119), (164,119), (164,119), (164,119), (164,119)]"
26,/lp_book_oc/1_colour.jpeg,"(164,90)","[(256,59), (243,62), (236,63), (236,63), (235,64), (233,64), (218,71), (211,75), (185,84), (172,88), (164,91), (163,91), (163,92), (163,92), (163,92), (163,92), (162,92), (163,91), (163,91), (164,91), (164,91), (164,90), (164,90)]"
27,/statues_no/5_colour.jpeg,"(86,115)","[(249,147), (241,147), (226,146), (207,143), (190,139), (150,127), (131,121), (108,118), (106,118), (105,118), (105,118), (105,117), (105,117), (104,117), (103,117), (102,116), (99,115), (98,115), (96,114), (95,114), (94,114), (93,114), (92,114), (92,114), (89,115), (87,115), (86,115), (86,115), (86,115), (86,115)]"
28,/souvenirs_no/3_colour.jpeg,"(167,103)","[(256,129), (254,129), (248,128), (243,127), (237,125), (233,124), (224,121), (219,119), (210,117), (206,117), (201,116), (196,116), (195,116), (194,116), (194,115), (193,115), (190,114), (188,113), (184,112), (183,112), (181,111), (181,111), (180,110), (178,109), (176,108), (173,106), (172,105), (171,105), (171,105), (171,105), (170,105), (170,105), (170,105), (169,104), (168,104), (168,104), (167,103), (167,103), (167,103)]"
29,/shooters_no/3_colour.jpeg,"(156,131)","[(228,104), (226,107), (224,109), (217,116), (211,120), (204,126), (202,127), (200,128), (199,128), (199,128), (197,128), (195,128), (187,127), (183,126), (176,125), (174,125), (167,125), (162,125), (158,125), (156,125), (156,125), (156,125), (156,125), (155,126), (153,130), (152,131), (151,134), (150,134), (151,134), (151,134), (152,134), (152,134), (153,134), (153,134), (154,133), (155,133), (155,132), (156,132), (156,131), (156,131)]"
30,/vr_oc/1_colour.jpeg,"(178,59)","[(186,0), (186,0), (185,12), (185,12), (184,18), (184,18), (183,27), (182,37), (181,40), (180,47), (180,48), (179,54), (178,56), (178,57), (178,58), (178,58), (178,59), (178,59)]"
32,/reading_oc/1_colour.jpeg,"(182,123)","[(181,165), (181,165), (181,159), (181,159), (181,153), (181,147), (182,142), (182,139), (182,135), (182,132), (182,129), (182,127), (182,126), (182,125), (182,124), (182,124), (182,123), (182,123), (182,123), (182,123)]"
33,/wash_no/2_colour.jpeg,"(201,118)","[(265,133), (265,133), (264,133), (264,133), (262,133), (262,133), (260,133), (257,132), (254,131), (250,130), (248,130), (244,129), (241,128), (238,127), (236,127), (234,126), (232,126), (231,125), (230,125), (230,125), (230,125), (229,125), (229,125), (229,125), (229,125), (229,124), (229,124), (228,124), (227,124), (226,124), (224,124), (223,124), (222,123), (221,123), (220,123), (219,122), (218,122), (217,122), (217,122), (216,121), (216,121), (215,121), (215,121), (214,121), (214,121), (213,120), (212,120), (211,120), (210,120), (209,120), (209,119), (208,119), (206,119), (205,119), (204,119), (203,118), (203,118), (202,118), (202,118), (201,118), (201,118), (201,118), (201,118)]"
34,/head_gear_oc/3_colour.jpeg,"(108,127)","[(134,168), (134,168), (134,167), (134,167), (133,166), (133,166), (133,165), (132,164), (131,163), (131,162), (130,160), (129,159), (129,157), (128,156), (127,154), (126,152), (126,151), (125,150), (124,148), (123,147), (123,146), (122,145), (122,144), (121,143), (121,143), (120,142), (120,142), (119,141), (119,140), (118,139), (118,138), (117,137), (117,136), (116,135), (116,134), (115,134), (115,133), (115,133), (114,132), (114,132), (114,131), (113,131), (113,131), (113,130), (113,130), (113,130), (112,130), (112,130), (112,130), (112,129), (111,129), (111,129), (111,129), (111,129), (111,128), (110,128), (110,128), (110,127), (109,127), (109,127), (109,127), (108,127), (108,127), (108,127), (108,127), (108,127), (108,127)]"
35,/statues_oc/2_colour.jpeg,"(165,120)","[(178,168), (178,168), (178,165), (178,165), (178,161), (178,161), (178,158), (178,154), (178,152), (177,149), (177,147), (176,144), (176,142), (175,140), (175,138), (174,136), (173,135), (173,134), (172,131), (171,130), (171,129), (171,129), (170,128), (170,128), (169,127), (169,126), (169,126), (168,125), (168,124), (168,124), (167,123), (167,123), (167,122), (166,122), (166,122), (166,122), (166,121), (166,121), (166,121), (165,121), (165,121), (165,121), (165,121), (165,120), (165,120), (165,120), (165,120), (165,120), (165,120), (165,120), (165,120), (165,120), (165,120)]"
36,/tech_oc/2_colour.jpeg,"(194,112)","[(178,165), (178,165), (178,161), (178,161), (178,157), (178,157), (178,154), (178,151), (179,145), (179,143), (179,140), (179,139), (179,138), (180,137), (180,136), (180,135), (180,134), (180,133), (181,132), (181,131), (181,130), (182,129), (182,127), (183,126), (184,125), (184,123), (185,122), (186,121), (187,119), (188,118), (189,117), (190,116), (191,115), (192,114), (192,113), (193,113), (194,112), (194,112), (194,112), (194,112), (194,112)]"
37,/tech_no/4_colour.jpeg,"(175,133)","[(185,125), (182,123), (173,119), (170,118), (163,116), (161,115), (159,115), (159,116), (159,117), (159,117), (159,118), (159,118), (157,118), (155,117), (154,117), (153,115), (151,115), (150,114), (149,114), (147,114), (145,114), (141,118), (140,120), (138,122), (137,124), (136,125), (136,125), (139,131), (143,134), (147,136), (147,136), (149,137), (152,137), (163,139), (170,139), (172,139), (172,139), (172,139), (172,139), (172,138), (173,138), (173,138), (174,138), (174,138), (174,138), (174,137), (174,136), (174,135), (174,134), (174,134), (175,134), (175,133), (175,133), (175,133), (175,133)]"
38,/head_gear_no/3_colour.jpeg,"(147,121)","[(181,128), (181,127), (179,127), (176,126), (172,125), (162,123), (159,122), (154,122), (151,121), (148,121), (147,121), (147,121)]"
39,/mugs_no/1_colour.jpeg,"(156,122)","[(152,127), (151,127), (150,127), (149,126), (149,126), (148,126), (147,126), (147,125), (147,125), (147,124), (147,124), (147,124), (147,124), (152,123), (154,123), (155,123), (156,123), (156,123), (156,123), (156,122)]"
40,/food_oc/2_colour.jpeg,"(141,119)","[(163,130), (162,129), (161,128), (159,127), (155,124), (154,124), (154,124), (154,124), (154,124), (153,124), (153,124), (152,123), (151,123), (151,123), (151,123), (150,123), (150,123), (150,123), (149,122), (146,121), (143,120), (141,119), (141,119), (141,119)]"
41,/footwear_no/2_colour.jpeg,"(169,106)","[(148,124), (148,125), (148,125), (148,125), (149,125), (149,125), (149,125), (150,125), (151,126), (151,126), (152,126), (152,127), (153,127), (153,127), (153,127), (154,127), (154,127), (154,128), (159,126), (162,125), (165,123), (165,120), (165,119), (163,116), (161,115), (160,114), (159,113), (158,113), (158,112), (158,111), (158,111), (159,110), (160,109), (161,107), (162,106), (163,106), (164,106), (166,106), (167,106), (169,106), (169,106), (170,106), (170,106), (169,106), (169,106), (169,106)]"
42,/souvenirs_no/2_colour.jpeg,"(170,105)","[(128,1), (131,2), (135,3), (142,6), (170,16), (189,22), (229,39), (240,44), (250,52), (252,58), (248,66), (243,73), (234,79), (217,92), (212,97), (205,106), (202,109), (199,116), (197,119), (195,124), (194,127), (193,128), (192,128), (192,128), (190,127), (184,124), (180,122), (170,114), (169,113), (168,111), (168,110), (168,110), (168,109), (169,106), (170,105)]"
43,/statues_no/1_colour.jpeg,"(153,99)","[(269,79), (267,79), (265,79), (264,79), (263,79), (262,79), (262,79), (260,79), (259,79), (259,79), (258,79), (258,79), (255,79), (253,79), (247,79), (239,80), (234,81), (223,82), (213,85), (209,87), (198,90), (188,94), (184,95), (178,97), (177,98), (175,99), (175,99), (174,99), (172,100), (172,100), (172,100), (171,100), (171,99), (171,99), (170,97), (169,96), (169,96), (169,96), (168,96), (168,96), (162,98), (162,98), (161,99), (161,99), (161,99), (161,99), (159,99), (159,99), (157,100), (155,100), (154,100), (153,100), (153,100), (153,99)]"
44,/academic_book_no/3_colour.jpeg,"(97,92)","[(43,90), (47,90), (51,90), (54,89), (58,88), (61,88), (63,87), (63,87), (63,87), (64,88), (65,89), (67,91), (69,93), (69,93), (70,93), (71,93), (76,93), (89,93), (92,93), (94,93), (94,93), (94,93), (95,93), (96,93), (97,93), (97,93), (97,92), (97,92), (97,92), (97,92)]"
45,/wash_oc/3_colour.jpeg,"(177,128)","[(30,91), (30,91), (30,91), (31,91), (31,91), (31,91), (31,91), (32,91), (33,91), (34,91), (35,91), (36,91), (37,91), (39,92), (40,92), (47,91), (51,91), (60,93), (69,94), (85,97), (89,98), (104,103), (116,107), (124,110), (134,114), (138,116), (142,117), (146,118), (147,118), (147,119), (147,119), (148,119), (151,119), (153,120), (154,120), (155,120), (155,120), (156,120), (166,126), (171,128), (172,128), (173,128), (174,128), (175,128), (175,128), (176,128), (177,128), (177,128)]"
46,/head_gear_oc/2_colour.jpeg,"(107,120)","[(238,83), (237,84), (237,84), (235,84), (232,85), (228,86), (219,89), (217,90), (216,91), (215,91), (214,92), (209,93), (196,98), (186,102), (181,104), (177,106), (172,107), (171,107), (171,107), (170,108), (170,108), (170,108), (170,108), (170,108), (169,108), (168,108), (166,109), (158,110), (142,115), (136,115), (127,117), (125,118), (124,118), (123,118), (123,118), (122,118), (121,118), (119,118), (117,118), (113,119), (111,120), (109,120), (108,120), (108,120), (107,120), (107,120)]"
47,/food_oc/3_colour.jpeg,"(212,113)","[(189,159), (189,154), (190,144), (190,141), (190,141), (190,141), (190,140), (190,138), (190,137), (190,133), (190,132), (190,127), (189,125), (188,122), (186,119), (185,117), (184,116), (184,116), (183,116), (183,116), (183,116), (180,115), (179,115), (176,110), (175,109), (174,107), (174,107), (174,106), (287,80), (255,87), (215,95), (207,96), (206,97), (206,97), (205,98), (204,98), (204,99), (199,103), (196,107), (193,111), (192,112), (193,113), (194,113), (198,112), (201,111), (208,109), (211,108), (215,107), (215,107), (216,107), (216,107), (216,108), (216,108), (215,108), (215,109), (213,110), (213,110), (213,111), (213,111), (213,111), (213,111), (212,112), (212,112), (212,113)]"
48,/tech_no/3_colour.jpeg,"(176,133)","[(185,117), (184,117), (184,117), (184,117), (184,117), (184,117), (183,117), (183,117), (183,117), (183,117), (182,117), (182,117), (181,117), (181,117), (179,118), (176,118), (171,118), (169,118), (164,118), (162,118), (162,118), (162,118), (162,118), (162,118), (162,119), (165,122), (166,123), (168,123), (171,127), (174,129), (175,131), (176,133), (176,133), (176,133)]"
49,/reading_no/2_colour.jpeg,"(154,132)","[(151,141), (151,139), (152,137), (154,135), (154,133), (154,132), (154,132), (154,132)]"
50,/mugs_no/2_colour.jpeg,"(222,93)","[(223,123), (222,122), (221,120), (220,117), (220,115), (220,111), (220,109), (220,107), (220,105), (220,105), (220,104), (220,104), (220,103), (220,102), (220,99), (221,98), (221,94), (222,94), (222,93)]"
51,/shooters_oc/2_colour.jpeg,"(162,134)","[(146,163), (146,162), (147,158), (147,157), (147,156), (147,156), (147,155), (148,154), (149,152), (150,150), (151,148), (152,146), (153,145), (153,143), (154,142), (155,141), (155,140), (156,140), (156,139), (158,138), (159,136), (160,136), (160,135), (161,135), (161,134), (162,134), (162,134)]"
52,/mugs_no/3_colour.jpeg,"(160,127)","[(140,165), (142,157), (144,152), (145,147), (146,143), (147,142), (147,141), (147,140), (147,140), (147,139), (148,139), (148,137), (148,135), (148,133), (148,130), (148,127), (147,126), (145,124), (142,123), (140,122), (137,121), (134,120), (131,119), (128,119), (127,119), (126,118), (125,118), (125,118), (125,118), (124,118), (123,118), (123,117), (121,117), (120,117), (119,117), (117,117), (116,117), (114,117), (114,117), (113,117), (114,117), (114,117), (114,117), (115,117), (117,117), (119,118), (121,119), (124,120), (127,121), (132,122), (134,123), (136,124), (138,124), (140,124), (141,124), (142,124), (143,124), (144,124), (145,124), (146,124), (147,124), (147,125), (149,125), (151,125), (153,126), (154,126), (155,126), (157,126), (157,126), (158,126), (159,126), (159,126), (160,126), (160,127)]"
53,/souvenirs_no/1_colour.jpeg,"(171,103)","[(160,126), (159,126), (159,126), (159,126), (159,126), (159,125), (159,125), (159,125), (159,125), (159,125), (158,125), (158,124), (158,124), (158,124), (158,124), (158,123), (158,123), (158,122), (157,122), (157,120), (156,120), (156,118), (156,117), (155,115), (155,114), (154,112), (154,112), (154,111), (154,110), (154,110), (154,109), (154,109), (154,109), (154,108), (154,108), (154,108), (154,107), (155,107), (155,107), (156,106), (157,106), (159,105), (160,105), (162,105), (163,104), (164,104), (165,104), (166,104), (167,104), (168,104), (168,104), (169,104), (169,104), (170,104), (170,104), (170,104), (171,103), (171,103), (171,103)]"
54,/lp_book_oc/2_colour.jpeg,"(201,116)","[(194,150), (194,150), (194,150), (194,148), (194,146), (194,144), (194,142), (194,141), (194,139), (194,138), (194,137), (194,136), (194,135), (194,133), (195,131), (195,130), (195,128), (195,127), (196,125), (196,124), (197,122), (197,121), (198,120), (199,119), (199,118), (200,117), (201,117), (201,116), (201,116), (201,116)]"
55,/wash_no/1_colour.jpeg,"(161,130)","[(156,166), (157,163), (157,162), (158,160), (158,159), (158,158), (158,158), (158,157), (159,157), (159,156), (159,155), (159,153), (159,151), (159,148), (159,146), (160,143), (160,141), (160,139), (160,138), (161,136), (161,136), (161,135), (161,135), (161,134), (161,133), (161,133), (161,132), (161,131), (161,131), (161,131), (161,131), (161,130), (161,130), (161,130), (161,130), (161,130)]"
